date,day,day_suffix,day_of_week,day_of_year,week_of_year,week_of_month,month,month_name,quarter,quarter_name,year
19001216,16,Sun,0,16,50,6,12,December,4,Q4,1900
19001217,17,Mon,1,17,51,6,12,December,4,Q4,1900
19001218,18,Tue,2,18,51,6,12,December,4,Q4,1900
19001219,19,Wed,3,19,51,7,12,December,4,Q4,1900
19001220,20,Thu,4,20,51,7,12,December,4,Q4,1900
19001221,21,Fri,5,21,51,7,12,December,4,Q4,1900
19001222,22,Sat,6,22,51,8,12,December,4,Q4,1900
19001223,23,Sun,0,23,51,8,12,December,4,Q4,1900
19001224,24,Mon,1,24,52,8,12,December,4,Q4,1900
19001225,25,Tue,2,25,52,9,12,December,4,Q4,1900
19001226,26,Wed,3,26,52,9,12,December,4,Q4,1900
19001227,27,Thu,4,27,52,9,12,December,4,Q4,1900
19001228,28,Fri,5,28,52,10,12,December,4,Q4,1900
19001229,29,Sat,6,29,52,10,12,December,4,Q4,1900
19001230,30,Sun,0,30,52,10,12,December,4,Q4,1900
19001231,31,Mon,1,31,53,11,12,December,4,Q4,1900
19010101,01,Tue,2,1,0,1,01,January,1,Q1,1901
19010102,02,Wed,3,2,0,1,01,January,1,Q1,1901
19010103,03,Thu,4,3,0,1,01,January,1,Q1,1901
19010104,04,Fri,5,4,0,2,01,January,1,Q1,1901
19010105,05,Sat,6,5,0,2,01,January,1,Q1,1901
19010106,06,Sun,0,6,0,2,01,January,1,Q1,1901
19010107,07,Mon,1,7,1,3,01,January,1,Q1,1901
19010108,08,Tue,2,8,1,3,01,January,1,Q1,1901
19010109,09,Wed,3,9,1,3,01,January,1,Q1,1901
19010110,10,Thu,4,10,1,4,01,January,1,Q1,1901
19010111,11,Fri,5,11,1,4,01,January,1,Q1,1901
19010112,12,Sat,6,12,1,4,01,January,1,Q1,1901
19010113,13,Sun,0,13,1,5,01,January,1,Q1,1901
19010114,14,Mon,1,14,2,5,01,January,1,Q1,1901
19010115,15,Tue,2,15,2,5,01,January,1,Q1,1901
19010116,16,Wed,3,16,2,6,01,January,1,Q1,1901
19010117,17,Thu,4,17,2,6,01,January,1,Q1,1901
19010118,18,Fri,5,18,2,6,01,January,1,Q1,1901
19010119,19,Sat,6,19,2,7,01,January,1,Q1,1901
19010120,20,Sun,0,20,2,7,01,January,1,Q1,1901
19010121,21,Mon,1,21,3,7,01,January,1,Q1,1901
19010122,22,Tue,2,22,3,8,01,January,1,Q1,1901
19010123,23,Wed,3,23,3,8,01,January,1,Q1,1901
19010124,24,Thu,4,24,3,8,01,January,1,Q1,1901
19010125,25,Fri,5,25,3,9,01,January,1,Q1,1901
19010126,26,Sat,6,26,3,9,01,January,1,Q1,1901
19010127,27,Sun,0,27,3,9,01,January,1,Q1,1901
19010128,28,Mon,1,28,4,10,01,January,1,Q1,1901
19010129,29,Tue,2,29,4,10,01,January,1,Q1,1901
19010130,30,Wed,3,30,4,10,01,January,1,Q1,1901
19010131,31,Thu,4,31,4,11,01,January,1,Q1,1901
19010201,01,Fri,5,1,4,1,02,February,1,Q1,1901
19010202,02,Sat,6,2,4,1,02,February,1,Q1,1901
19010203,03,Sun,0,3,4,1,02,February,1,Q1,1901
19010204,04,Mon,1,4,5,2,02,February,1,Q1,1901
19010205,05,Tue,2,5,5,2,02,February,1,Q1,1901
19010206,06,Wed,3,6,5,2,02,February,1,Q1,1901
19010207,07,Thu,4,7,5,3,02,February,1,Q1,1901
19010208,08,Fri,5,8,5,3,02,February,1,Q1,1901
19010209,09,Sat,6,9,5,3,02,February,1,Q1,1901
19010210,10,Sun,0,10,5,4,02,February,1,Q1,1901
19010211,11,Mon,1,11,6,4,02,February,1,Q1,1901
19010212,12,Tue,2,12,6,4,02,February,1,Q1,1901
19010213,13,Wed,3,13,6,5,02,February,1,Q1,1901
19010214,14,Thu,4,14,6,5,02,February,1,Q1,1901
19010215,15,Fri,5,15,6,5,02,February,1,Q1,1901
19010216,16,Sat,6,16,6,6,02,February,1,Q1,1901
19010217,17,Sun,0,17,6,6,02,February,1,Q1,1901
19010218,18,Mon,1,18,7,6,02,February,1,Q1,1901
19010219,19,Tue,2,19,7,7,02,February,1,Q1,1901
19010220,20,Wed,3,20,7,7,02,February,1,Q1,1901
19010221,21,Thu,4,21,7,7,02,February,1,Q1,1901
19010222,22,Fri,5,22,7,8,02,February,1,Q1,1901
19010223,23,Sat,6,23,7,8,02,February,1,Q1,1901
19010224,24,Sun,0,24,7,8,02,February,1,Q1,1901
19010225,25,Mon,1,25,8,9,02,February,1,Q1,1901
19010226,26,Tue,2,26,8,9,02,February,1,Q1,1901
19010227,27,Wed,3,27,8,9,02,February,1,Q1,1901
19010228,28,Thu,4,28,8,10,02,February,1,Q1,1901
19010301,01,Fri,5,1,8,1,03,March,1,Q1,1901
19010302,02,Sat,6,2,8,1,03,March,1,Q1,1901
19010303,03,Sun,0,3,8,1,03,March,1,Q1,1901
19010304,04,Mon,1,4,9,2,03,March,1,Q1,1901
19010305,05,Tue,2,5,9,2,03,March,1,Q1,1901
19010306,06,Wed,3,6,9,2,03,March,1,Q1,1901
19010307,07,Thu,4,7,9,3,03,March,1,Q1,1901
19010308,08,Fri,5,8,9,3,03,March,1,Q1,1901
19010309,09,Sat,6,9,9,3,03,March,1,Q1,1901
19010310,10,Sun,0,10,9,4,03,March,1,Q1,1901
19010311,11,Mon,1,11,10,4,03,March,1,Q1,1901
19010312,12,Tue,2,12,10,4,03,March,1,Q1,1901
19010313,13,Wed,3,13,10,5,03,March,1,Q1,1901
19010314,14,Thu,4,14,10,5,03,March,1,Q1,1901
19010315,15,Fri,5,15,10,5,03,March,1,Q1,1901
19010316,16,Sat,6,16,10,6,03,March,1,Q1,1901
19010317,17,Sun,0,17,10,6,03,March,1,Q1,1901
